,가구수(천 가구),1인가구,2인가구,3인가구,4인가구,5인가구,6인 이상가구,평균 가구원수(명)
1980,"7,969",4.8,10.5,14.5,20.3,20.0,29.8,4.5
1985,"9,571",6.9,12.3,16.5,25.3,19.5,19.5,4.1
1990,"11,355",9.0,13.8,19.1,29.5,18.8,9.8,3.7
1995,"12,958",12.7,16.9,20.3,31.7,12.9,5.5,3.3
2000,"14,312",15.5,19.1,20.9,31.1,10.1,3.3,3.1
2005,"15,887",20.0,22.2,20.9,27.0,7.7,2.3,2.9
2010,"17,339",23.9,24.3,21.3,22.5,6.2,1.8,2.7
2015,"19,111",27.2,26.1,21.5,18.8,4.9,1.5,2.5
2016,"19,368",27.9,26.2,21.4,18.3,4.8,1.4,2.5
2017,"19,674",28.6,26.7,21.2,17.7,4.5,1.3,2.5
2018,"19,979",29.3,27.3,21.0,17.0,4.3,1.2,2.4
2019,"20,343",30.2,27.8,20.7,16.2,3.9,1.0,2.4
2020,"20,927",31.7,28.0,20.1,15.6,3.6,0.9,2.3
2021,"21,448",33.4,28.3,19.4,14.7,3.3,0.8,2.3
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
