기온,수도권 순수 기온반응도,수도권 시간 기온반응도,지방권 순수 기온반응도,지방권 시간 기온반응도,수도권 기온반응도,동남권 기온반응도,대경권 기온반응도,충청권 기온반응도,호남권 기온반응도
-20,1.11644,-0.02022,-1.71844,1.81408,0.1465,0.77177,0.45639,0.49034,0.5885
-19.9,1.11092,-0.01769,-1.69904,1.80363,0.14988,0.76866,0.4542,0.489,0.58655
-19.8,1.1055,-0.0152,-1.67966,1.79313,0.15322,0.76553,0.45201,0.48766,0.58458
-19.7,1.10017,-0.01275,-1.66029,1.78261,0.15652,0.7624,0.44982,0.48632,0.5826
-19.6,1.09494,-0.01034,-1.64095,1.77205,0.15978,0.75925,0.44762,0.48496,0.58061
-19.5,1.0898,-0.00797,-1.62162,1.76145,0.16299,0.7561,0.44542,0.4836,0.57861
-19.4,1.08476,-0.00564,-1.60231,1.75082,0.16617,0.75293,0.44322,0.48224,0.5766
-19.3,1.07981,-0.00336,-1.58302,1.74017,0.1693,0.74976,0.44101,0.48087,0.57458
-19.2,1.07495,-0.00111,-1.56375,1.72948,0.1724,0.74658,0.4388,0.4795,0.57255
-19.1,1.07019,0.00109,-1.54451,1.71876,0.17545,0.74339,0.43658,0.47812,0.57051
-19,1.06551,0.00326,-1.52529,1.70801,0.17846,0.74019,0.43437,0.47673,0.56846
-18.9,1.06093,0.00538,-1.50609,1.69723,0.18144,0.73698,0.43215,0.47534,0.5664
-18.8,1.05643,0.00747,-1.48693,1.68642,0.18437,0.73376,0.42992,0.47394,0.56433
-18.7,1.05203,0.00951,-1.46779,1.67559,0.18726,0.73053,0.42769,0.47254,0.56225
-18.6,1.04771,0.01151,-1.44868,1.66473,0.19011,0.72729,0.42547,0.47113,0.56016
-18.5,1.04349,0.01347,-1.4296,1.65384,0.19292,0.72405,0.42323,0.46971,0.55806
-18.4,1.03935,0.01539,-1.41055,1.64293,0.19568,0.72079,0.421,0.46829,0.55595
-18.3,1.03529,0.01726,-1.39153,1.63199,0.19841,0.71753,0.41876,0.46687,0.55383
-18.2,1.03132,0.0191,-1.37255,1.62103,0.2011,0.71426,0.41652,0.46543,0.5517
-18.1,1.02744,0.0209,-1.3536,1.61005,0.20374,0.71098,0.41428,0.464,0.54956
-18,1.02364,0.02265,-1.33469,1.59904,0.20635,0.70769,0.41203,0.46255,0.54741
-17.9,1.01993,0.02436,-1.31581,1.58802,0.20891,0.7044,0.40979,0.4611,0.54526
-17.8,1.0163,0.02604,-1.29697,1.57697,0.21143,0.70109,0.40754,0.45965,0.54309
-17.7,1.01275,0.02767,-1.27817,1.5659,0.21392,0.69778,0.40529,0.45819,0.54091
-17.6,1.00928,0.02926,-1.25941,1.55481,0.21636,0.69446,0.40304,0.45672,0.53872
-17.5,1.00589,0.03081,-1.24069,1.54371,0.21876,0.69114,0.40078,0.45525,0.53653
-17.4,1.00259,0.03232,-1.22201,1.53258,0.22112,0.6878,0.39852,0.45377,0.53432
-17.3,0.99936,0.03379,-1.20337,1.52144,0.22345,0.68446,0.39627,0.45229,0.53211
-17.2,0.99621,0.03521,-1.18478,1.51028,0.22573,0.68111,0.39401,0.4508,0.52988
-17.1,0.99314,0.0366,-1.16624,1.49911,0.22797,0.67776,0.39175,0.44931,0.52765
-17,0.99014,0.03795,-1.14774,1.48792,0.23017,0.67439,0.38948,0.44781,0.52541
-16.9,0.98722,0.03925,-1.12929,1.47672,0.23233,0.67102,0.38722,0.4463,0.52316
-16.8,0.98438,0.04052,-1.11089,1.46551,0.23445,0.66765,0.38496,0.44479,0.5209
-16.7,0.98161,0.04174,-1.09253,1.45428,0.23653,0.66427,0.38269,0.44327,0.51863
-16.6,0.97892,0.04292,-1.07423,1.44304,0.23857,0.66088,0.38042,0.44175,0.51635
-16.5,0.97629,0.04407,-1.05598,1.43179,0.24057,0.65748,0.37816,0.44022,0.51406
-16.4,0.97374,0.04517,-1.03778,1.42053,0.24254,0.65408,0.37589,0.43868,0.51177
-16.3,0.97127,0.04623,-1.01964,1.40926,0.24446,0.65067,0.37362,0.43714,0.50946
-16.2,0.96886,0.04726,-1.00155,1.39798,0.24634,0.64726,0.37135,0.4356,0.50715
-16.1,0.96652,0.04824,-0.98352,1.38669,0.24818,0.64384,0.36908,0.43404,0.50483
-16,0.96425,0.04918,-0.96554,1.3754,0.24999,0.64041,0.36681,0.43249,0.5025
-15.9,0.96205,0.05008,-0.94763,1.3641,0.25175,0.63698,0.36454,0.43092,0.50017
-15.8,0.95991,0.05095,-0.92977,1.35279,0.25348,0.63354,0.36227,0.42936,0.49782
-15.7,0.95784,0.05177,-0.91197,1.34148,0.25516,0.6301,0.35999,0.42778,0.49547
-15.6,0.95584,0.05255,-0.89423,1.33017,0.25681,0.62665,0.35772,0.4262,0.49311
-15.5,0.9539,0.0533,-0.87656,1.31885,0.25842,0.6232,0.35545,0.42462,0.49074
-15.4,0.95203,0.054,-0.85894,1.30753,0.25999,0.61974,0.35318,0.42303,0.48836
-15.3,0.95022,0.05467,-0.8414,1.29621,0.26152,0.61628,0.35091,0.42143,0.48598
-15.2,0.94847,0.05529,-0.82392,1.28488,0.26301,0.61281,0.34864,0.41983,0.48358
-15.1,0.94678,0.05588,-0.8065,1.27356,0.26446,0.60934,0.34637,0.41822,0.48118
-15,0.94515,0.05643,-0.78915,1.26224,0.26588,0.60587,0.3441,0.41661,0.47877
-14.9,0.94358,0.05694,-0.77187,1.25092,0.26726,0.60238,0.34183,0.41499,0.47636
-14.8,0.94207,0.05741,-0.75466,1.2396,0.2686,0.5989,0.33956,0.41336,0.47394
-14.7,0.94062,0.05785,-0.73752,1.22828,0.2699,0.59541,0.3373,0.41173,0.47151
-14.6,0.93922,0.05824,-0.72045,1.21697,0.27116,0.59192,0.33503,0.4101,0.46907
-14.5,0.93788,0.0586,-0.70345,1.20566,0.27239,0.58842,0.33277,0.40846,0.46662
-14.4,0.9366,0.05892,-0.68653,1.19436,0.27358,0.58492,0.3305,0.40681,0.46417
-14.3,0.93537,0.0592,-0.66968,1.18306,0.27473,0.58142,0.32824,0.40516,0.46171
-14.2,0.93419,0.05944,-0.6529,1.17177,0.27584,0.57791,0.32598,0.40351,0.45925
-14.1,0.93306,0.05965,-0.6362,1.16049,0.27692,0.5744,0.32372,0.40184,0.45678
-14,0.93199,0.05982,-0.61958,1.14921,0.27796,0.57089,0.32146,0.40018,0.4543
-13.9,0.93096,0.05995,-0.60304,1.13795,0.27896,0.56737,0.3192,0.3985,0.45181
