연,월,기온효과
2007,01,0.30
2007,02,0.23
2007,03,0.19
2007,04,0.10
2007,05,0.02
2007,06,-0.01
2007,07,-0.01
2007,08,-0.02
2007,09,0.00
2007,10,0.06
2007,11,0.18
2007,12,0.27
2008,01,0.35
2008,02,0.34
2008,03,0.17
2008,04,0.07
2008,05,0.03
2008,06,0.00
2008,07,-0.01
2008,08,-0.02
2008,09,0.00
2008,10,0.05
2008,11,0.17
2008,12,0.30
2009,01,0.37
2009,02,0.25
2009,03,0.20
2009,04,0.09
2009,05,0.02
2009,06,0.00
2009,07,-0.01
2009,08,-0.01
2009,09,0.00
2009,10,0.05
2009,11,0.18
2009,12,0.35
2010,01,0.43
2010,02,0.29
2010,03,0.23
2010,04,0.13
2010,05,0.04
2010,06,0.00
2010,07,-0.01
2010,08,-0.01
2010,09,0.01
2010,10,0.07
2010,11,0.19
2010,12,0.36
2011,01,0.51
2011,02,0.29
2011,03,0.24
2011,04,0.11
2011,05,0.03
2011,06,0.00
2011,07,-0.01
2011,08,-0.01
2011,09,0.01
2011,10,0.07
2011,11,0.13
2011,12,0.34
2012,01,0.39
2012,02,0.38
2012,03,0.20
2012,04,0.10
2012,05,0.02
2012,06,0.00
2012,07,0.00
2012,08,-0.02
2012,09,0.01
2012,10,0.06
2012,11,0.20
2012,12,0.43
2013,01,0.42
2013,02,0.36
2013,03,0.22
2013,04,0.13
2013,05,0.04
2013,06,0.00
2013,07,0.00
2013,08,-0.01
2013,09,0.01
2013,10,0.06
2013,11,0.20
2013,12,0.33
2014,01,0.34
2014,02,0.28
2014,03,0.17
2014,04,0.08
2014,05,0.04
2014,06,0.01
2014,07,0.00
2014,08,0.00
2014,09,0.01
2014,10,0.06
2014,11,0.15
2014,12,0.40
2015,01,0.35
2015,02,0.30
2015,03,0.20
2015,04,0.09
2015,05,0.03
2015,06,0.01
2015,07,0.00
2015,08,0.00
2015,09,0.01
2015,10,0.07
2015,11,0.15
2015,12,0.29
2016,01,0.41
2016,02,0.33
2016,03,0.19
2016,04,0.08
2016,05,0.03
2016,06,0.01
2016,07,0.00
2016,08,0.00
2016,09,0.01
2016,10,0.06
2016,11,0.20
2016,12,0.30
2017,01,0.38
2017,02,0.34
2017,03,0.20
2017,04,0.08
2017,05,0.03
2017,06,0.01
2017,07,0.00
2017,08,0.01
2017,09,0.02
2017,10,0.06
2017,11,0.22
2017,12,0.38
2018,01,0.44
2018,02,0.38
2018,03,0.17
2018,04,0.10
2018,05,0.04
2018,06,0.01
2018,07,0.02
2018,08,0.02
2018,09,0.02
2018,10,0.10
2018,11,0.17
2018,12,0.36
2019,01,0.35
2019,02,0.31
2019,03,0.18
2019,04,0.11
2019,05,0.04
2019,06,0.02
2019,07,0.01
2019,08,0.02
2019,09,0.02
2019,10,0.06
2019,11,0.18
2019,12,0.30
2020,01,0.30
2020,02,0.28
2020,03,0.18
2020,04,0.12
2020,05,0.05
2020,06,0.02
2020,07,0.01
2020,08,0.01
2020,09,0.02
2020,10,0.08
2020,11,0.18
2020,12,0.35
2021,01,0.41
2021,02,0.28
2021,03,0.16
2021,04,0.09
2021,05,0.06
2021,06,0.02
