연,월,유효일수
2007,01,28.76
2007,02,24.45
2007,03,28.83
2007,04,27.69
2007,05,28.91
2007,06,27.87
2007,07,28.42
2007,08,28.76
2007,09,25.95
2007,10,28.9
2007,11,28.1
2007,12,28.19
2008,01,28.82
2008,02,25.08
2008,03,28.67
2008,04,28
2008,05,28.55
2008,06,27.64
2008,07,28.76
2008,08,28.45
2008,09,26.72
2008,10,28.91
2008,11,27.64
2008,12,28.8
2009,01,26.83
2009,02,26.09
2009,03,28.79
2009,04,28.1
2009,05,28.4
2009,06,28.16
2009,07,28.66
2009,08,28.73
2009,09,28.1
2009,10,27.48
2009,11,27.75
2009,12,28.8
2010,01,28.31
2010,02,24.45
2010,03,28.94
2010,04,28.1
2010,05,28.34
2010,06,28.08
2010,07,28.93
2010,08,28.41
2010,09,26.46
2010,10,28.64
2010,11,28.03
2010,12,29.05
2011,01,28.44
2011,02,24.07
2011,03,29
2011,04,27.93
2011,05,28.46
2011,06,28.04
2011,07,28.65
2011,08,28.56
2011,09,26.59
2011,10,28.44
2011,11,28.1
2011,12,29.02
2012,01,26.78
2012,02,27.09
2012,03,28.83
2012,04,27.6
2012,05,28.91
2012,06,27.87
2012,07,28.61
2012,08,28.76
2012,09,27.14
2012,10,28.09
2012,11,28.1
2012,12,28.19
2013,01,28.82
2013,02,24.45
2013,03,28.49
2013,04,28.03
2013,05,28.8
2013,06,27.58
2013,07,28.8
2013,08,28.69
2013,09,26.06
2013,10,28.96
2013,11,27.93
2013,12,28.46
2014,01,27.86
2014,02,25.27
2014,03,28.67
2014,04,28.1
2014,05,28.55
2014,06,27.49
2014,07,28.76
2014,08,27.98
2014,09,26.53
2014,10,28.91
2014,11,27.64
2014,12,28.8
2015,01,28.65
2015,02,24.07
2015,03,28.79
2015,04,28.1
2015,05,28.16
2015,06,28.16
2015,07,28.66
2015,08,28.61
2015,09,26.78
2015,10,28.93
2015,11,27.75
2015,12,28.8
2016,01,28.31
2016,02,25.15
2016,03,29
2016,04,27.83
2016,05,28.52
2016,06,28.04
2016,07,28.65
2016,08,28.56
2016,09,26.4
2016,10,28.58
2016,11,28.1
2016,12,29.02
2017,01,26.97
2017,02,26.09
2017,03,29
2017,04,27.64
2017,05,28.35
2017,06,27.98
2017,07,28.55
2017,08,28.61
2017,09,27.93
2017,10,26.85
2017,11,28.1
2017,12,28.54
2018,01,28.76
2018,02,24.31
2018,03,28.83
2018,04,27.69
2018,05,28.85
2018,06,27.87
2018,07,28.61
2018,08,28.76
2018,09,26.14
2018,10,28.84
2018,11,28.1
2018,12,28.29
2019,01,28.82
2019,02,24.07
2019,03,28.49
2019,04,28.03
2019,05,28.99
2019,06,27.58
2019,07,28.8
2019,08,28.69
2019,09,26.3
2019,10,28.96
2019,11,27.93
2019,12,28.46
2020,01,27.18
2020,02,26.92
2020,03,28.79
2020,04,27.89
2020,05,28.27
2020,06,28.16
2020,07,28.66
2020,08,28.73
2020,09,27.64
2020,10,27.69
2020,11,27.75
2020,12,28.8
2021,01,28.31
2021,02,24.31
2021,03,28.94
2021,04,28.1
2021,05,28.39
2021,06,28.18
