¿¬µµ,±¸ºÐ,±âº»¿ä±Ý ±âÁØ,±âº»¿ä±Ý,Àü·Â·®¿ä±Ý ±âÁØ,Àü·Â·® ¿ä±Ý
2013,Àú¾Ð,100kWhÀÌÇÏ »ç¿ë,400,Ã³À½ 100kWh±îÁö,59.1
2013,Àú¾Ð,101¢¦200kWh»ç¿ë,890,´ÙÀ½ 100kWh±îÁö,122.6
2013,Àú¾Ð,201¢¦300kWh»ç¿ë,1560,´ÙÀ½ 100kWh±îÁö,183
2013,Àú¾Ð,301¢¦400kWh»ç¿ë,3750,´ÙÀ½ 100kWh±îÁö,273.2
2013,Àú¾Ð,401¢¦500kWh»ç¿ë,7110,´ÙÀ½ 100kWh±îÁö,406.7
2013,Àú¾Ð,500kWhÃÊ°ú »ç¿ë,12600,500kWhÃÊ°ú,690.8
2013,°í¾Ð,100kWhÀÌÇÏ »ç¿ë,400,Ã³À½ 100kWh±îÁö,56.1
2013,°í¾Ð,101¢¦200kWh»ç¿ë,710,´ÙÀ½ 100kWh±îÁö,96.3
2013,°í¾Ð,201¢¦300kWh»ç¿ë,1230,´ÙÀ½ 100kWh±îÁö,143.4
2013,°í¾Ð,301¢¦400kWh»ç¿ë,3090,´ÙÀ½ 100kWh±îÁö,209.9
2013,°í¾Ð,401¢¦500kWh»ç¿ë,5900,´ÙÀ½ 100kWh±îÁö,317.1
2013,°í¾Ð,500kWhÃÊ°ú »ç¿ë,10480,500kWhÃÊ°ú,559.5
2017,Àú¾Ð,200kWhÀÌÇÏ »ç¿ë,910,Ã³À½ 200kWh±îÁö,93.3
2017,Àú¾Ð,201~400kWh »ç¿ë,1600,´ÙÀ½ 200kWh±îÁö,187.9
2017,Àú¾Ð,400kWhÃÊ°ú »ç¿ë,7300,400kWhÃÊ°ú,280.6
2017,°í¾Ð,200kWhÀÌÇÏ »ç¿ë,730,Ã³À½ 200kWh±îÁö,78.3
2017,°í¾Ð,201~400kWh »ç¿ë,1260,´ÙÀ½ 200kWh±îÁö,147.3
2017,°í¾Ð,400kWhÃÊ°ú »ç¿ë,6060,400kWhÃÊ°ú,215.6
2019,Àú¾Ð,200kWhÀÌÇÏ »ç¿ë,910,Ã³À½ 200kWh±îÁö,93.3
2019,Àú¾Ð,201~400kWh »ç¿ë,1600,´ÙÀ½ 200kWh±îÁö,187.9
2019,Àú¾Ð,400kWhÃÊ°ú »ç¿ë,7300,400kWhÃÊ°ú,280.6
2019,°í¾Ð,200kWhÀÌÇÏ »ç¿ë,730,Ã³À½ 200kWh±îÁö,78.3
2019,°í¾Ð,201~400kWh »ç¿ë,1260,´ÙÀ½ 200kWh±îÁö,147.3
2019,°í¾Ð,400kWhÃÊ°ú »ç¿ë,6060,400kWhÃÊ°ú,215.6
2021,Àú¾Ð,200kWhÀÌÇÏ »ç¿ë,910,Ã³À½ 200kWh±îÁö,88.3
2021,Àú¾Ð,201~400kWh »ç¿ë,1600,´ÙÀ½ 200kWh±îÁö,182.9
2021,Àú¾Ð,400kWhÃÊ°ú »ç¿ë,7300,400kWhÃÊ°ú,275.6
2021,°í¾Ð,200kWhÀÌÇÏ »ç¿ë,730,Ã³À½ 200kWh±îÁö,73.3
2021,°í¾Ð,201~400kWh »ç¿ë,1260,´ÙÀ½ 200kWh±îÁö,142.3
2021,°í¾Ð,400kWhÃÊ°ú »ç¿ë,6060,400kWhÃÊ°ú,210.6
